"country_code","country_name","year","quarter","network_type","date","download_mbps_weighted_mean","upload_mbps_weighted_mean","latency_ms_weighted_mean","download_mbps_weighted_median","upload_mbps_weighted_median","latency_ms_weighted_median","download_mbps_mean","upload_mbps_mean","latency_ms_mean","download_mbps_median","upload_mbps_median","latency_ms_median","tile_count","total_tests","total_devices"
"RU","Russia",2019,3,"mobile",2019-07-01,21.7218344630166,10.4239496305419,45.1378605272064,19.5,10.157,39,18.2603320551336,8.1496275533269,51.9234939739722,13.724,6.052,42,311897,2026880,1063720
"RU","Russia",2019,4,"mobile",2019-10-01,21.2208365753258,11.0681339525729,42.8082605489744,18.758,10.771,37,19.3435998860839,9.01801722338588,48.5391798037703,14.787,7.146,39,272130,2044130,1033418
"RU","Russia",2019,1,"fixed",2019-01-01,42.1107015771692,42.4835969720994,16.9206710999633,39.476,41.912,7,29.0398011130757,28.9982580904948,31.2675025982265,23.288,22.53,13,222267,2537090,877902
"RU","Russia",2019,1,"mobile",2019-01-01,19.9382288956283,9.74104445610051,46.8462255280801,17.687,9.365,40,17.4256679014229,8.07954195193167,53.905915934892,13.088,6.217,44,229465,1386320,716842
"RU","Russia",2019,2,"mobile",2019-04-01,20.8065926777375,9.93019137345055,46.0190503838715,18.612,9.588,39,18.0821422869709,8.07696031244769,52.813064057102,13.613,6.048,42,262828,1432788,764709
"RU","Russia",2019,1,"fixed",2019-01-01,42.1107015771692,42.4835969720994,16.9206710999633,39.476,41.912,7,29.0398011130757,28.9982580904948,31.2675025982265,23.288,22.53,13,222267,2537090,877902
"RU","Russia",2019,2,"fixed",2019-04-01,43.4057076378332,43.2700302256593,19.1021690255865,39.782,41.954,8,28.525266318716,27.8428595405004,34.7301591362636,20.771,18.6535,17,234516,2310788,813084
"RU","Russia",2019,4,"mobile",2019-10-01,21.2208365753258,11.0681339525729,42.8082605489744,18.758,10.771,37,19.3435998860839,9.01801722338588,48.5391798037703,14.787,7.146,39,272130,2044130,1033418
"RU","Russia",2019,3,"mobile",2019-07-01,21.7218344630166,10.4239496305419,45.1378605272064,19.5,10.157,39,18.2603320551336,8.1496275533269,51.9234939739722,13.724,6.052,42,311897,2026880,1063720
"RU","Russia",2019,3,"fixed",2019-07-01,48.1885926197778,50.4438440618062,11.6960042635555,44.804,49.279,5,33.2096402935826,34.3718281521538,23.5632146032978,28.279,29.858,8,221539,2771957,1039508
"RU","Russia",2019,4,"fixed",2019-10-01,51.4936929365209,55.7726299652096,9.04565776618163,46.893,52.931,5,35.3422916242767,37.8226214779458,18.5285363293832,31.189,35.214,7,248683,5070718,1689833
"RU","Russia",2020,1,"mobile",2020-01-01,20.7247956503747,10.5970185490459,42.5758422420117,18.258,10.172,37,18.6690804574137,8.67696335895369,48.2077507366431,14.148,6.755,39,287792,2140947,1031859
"RU","Russia",2020,2,"mobile",2020-04-01,21.0527846873081,9.85326028346747,43.0395597829012,17.87,9.077,36,17.9219532377056,8.12542342839368,48.3729832201569,12.787,5.809,38,340766,2060231,910369
"RU","Russia",2020,1,"fixed",2020-01-01,55.9794252642081,60.4982901818047,8.80816643263617,50.385,56.208,5,41.4676339580645,45.4461222724743,15.0562790807809,34.006,39.65,6,168926,2537057,811860
"RU","Russia",2020,2,"fixed",2020-04-01,57.9375213122618,62.1375728105829,9.35127616066244,51.025,56.849,5,42.9863578848978,46.9560239337695,16.2732113766858,33.857,39.342,6,187225,2793078,792220
"RU","Russia",2020,4,"mobile",2020-10-01,23.2619099265138,10.9752283096941,40.6393409142389,19.781,10.39,35,21.5060468744202,9.36362726820688,44.8959426463712,15.979,7.328,37,269486,1670830,807907
"RU","Russia",2020,4,"fixed",2020-10-01,71.392592959739,75.1969053350005,7.42752542861952,62.8,68.682,4,56.6133573224825,60.7090712489461,10.9613255617875,44.02,49.953,5,136395,1499901,499044
"RU","Russia",2020,3,"mobile",2020-07-01,23.4968474361158,10.5425828953513,42.4616332159399,20.457,10.018,36,20.2935327582187,8.58330842199063,47.9090505498296,14.854,6.33,39,313097,1772843,910045
"RU","Russia",2020,3,"fixed",2020-07-01,63.1291216651789,66.6534510995699,8.37322080662176,55.416,60.803,5,48.690097368861,52.3995952293964,13.3079033246847,37.871,43.591,5,161489,1710315,616150
"RU","Russia",2021,1,"mobile",2021-01-01,23.4462163363063,10.8597708358215,40.0658999993579,19.731,10.165,35,21.6865230281531,9.38462873047022,44.2648690467205,16.021,7.288,37,264980,1618330,778695
"RU","Russia",2021,2,"mobile",2021-04-01,26.5726922142585,10.7212143224618,39.5461901965508,22.287,9.918,35,23.8079396111444,9.06504434187026,43.3406603834331,17.124,6.63,36,295071,1605647,796944
"RU","Russia",2021,1,"fixed",2021-01-01,76.3563840525639,79.5308928177113,7.38934339051838,67.636,72.895,4,60.1283702860662,63.8925352578479,11.4471349860415,46.398,51.854,5,149371,1877987,592346
