"country_code","country_name","year","quarter","network_type","date","download_mbps_weighted_mean","upload_mbps_weighted_mean","latency_ms_weighted_mean","download_mbps_weighted_median","upload_mbps_weighted_median","latency_ms_weighted_median","download_mbps_mean","upload_mbps_mean","latency_ms_mean","download_mbps_median","latency_ms_median","tile_count","total_tests","total_devices"
"UA","Ukraine",2020,3,"fixed",2020-07-01,49.0474983175773,51.1883115249596,11.4827606298524,45.227,48.624,6,36.9708143715081,40.3170825922283,16.9491305530561,31.465,7,47789,388029,137302
"UA","Ukraine",2020,4,"mobile",2020-10-01,25.1014167005418,13.2315180449516,36.7787895137508,22.494,13.082,34,24.9760907874806,11.2186156433813,40.3122381130368,19.832,35,50833,246580,135301
"UA","Ukraine",2022,1,"mobile",2022-01-01,33.5736115978777,15.4474668154465,39.569221684801,30.854,15.004,35,31.0649637879064,12.9479624729421,42.2129635249135,24.43,36,49431,225580,115159
"UA","Ukraine",2020,4,"fixed",2020-10-01,56.6380316352862,59.0541485581226,9.51348909143041,51.383,54.521,5,43.0418680846789,47.2570202154642,13.4203812058964,36.742,6,39821,352251,115093
"UA","Ukraine",2024,1,"fixed",2024-01-01,108.071333370651,105.332964640537,7.93375201788378,99.393,97.791,5,78.403740802861,79.3703811233401,12.0449807324443,56.3235,6,72142,883642,276899
"UA","Ukraine",2023,2,"mobile",2023-04-01,32.5972147957956,16.0063786541496,34.2623900077563,29.244,15.216,30,30.7529248209366,13.886638953168,36.2315426997245,23.5345,31,36300,137891,74778
"UA","Ukraine",2025,2,"mobile",2025-04-01,52.6756519495777,19.0130496126246,31.0687115006033,46.733,17.247,27,48.3987566925671,17.0405917314177,32.535170796071,39.391,28,34105,113232,62988
"UA","Ukraine",2023,4,"mobile",2023-10-01,30.4781539142385,15.2027018843314,35.1200941001095,26.858,14.233,32,29.7970028308185,13.5446616103619,37.2748297503004,22.352,33,37445,163108,85866
"UA","Ukraine",2021,4,"mobile",2021-10-01,36.0912387177953,16.4077518682196,36.2566711166352,33.639,16.384,34,34.3834622407954,13.6956454813729,38.3107484502189,27.972,35,50491,242894,130338
"UA","Ukraine",2020,1,"mobile",2020-01-01,21.9032016127776,12.2311526375093,40.2284629803673,19.954,12.357,37,21.8474591699907,9.88468834761945,47.1232623270814,17.75,38,58915,354635,192587
"UA","Ukraine",2021,4,"fixed",2021-10-01,78.1169159935591,74.8640199117651,8.0639506722348,69.265,67.516,5,60.435498397647,59.8475356029676,11.0458536371219,48.0435,6,45558,469405,152774
"UA","Ukraine",2021,1,"fixed",2021-01-01,61.5976052473516,63.5147835120953,9.04654631860335,55.747,58.342,5,46.1609841087498,50.2967961154722,12.8589359031634,38.963,6,47007,511759,151505
"UA","Ukraine",2023,3,"fixed",2023-07-01,93.887048044596,92.9992715795192,9.06657113387451,85.864,85.637,5,68.2659627691176,68.5545029139672,14.3624635754095,50.1475,6,70694,744506,254014
"UA","Ukraine",2023,2,"fixed",2023-04-01,87.3956554475543,88.7129109017097,7.65207686976038,79.72,81.977,4,63.06501912668,66.5770051541689,11.2961746639908,47.239,5,65772,761413,242384
"UA","Ukraine",2025,1,"mobile",2025-01-01,48.4892323723515,18.5092724160175,32.7273524206487,43.374,16.917,29,45.5438859649123,16.9370468899522,34.2780861244019,36.7385,30,31350,114990,60459
"UA","Ukraine",2021,2,"fixed",2021-04-01,66.6351699947537,64.2214076804,8.91139494666209,59.443,58.575,5,50.4247212259208,50.4008931852986,12.3750302248731,42.478,6,49628,445197,154393
"UA","Ukraine",2024,3,"fixed",2024-07-01,119.78854225913,113.361473011856,8.71154337196495,112.855,108.154,5,84.8932039427132,81.7806750587303,13.8687837876086,60.508,6,70662,803308,262393
"UA","Ukraine",2020,2,"fixed",2020-04-01,45.8220115209599,48.4877431757628,13.0552017588211,42.931,46.557,6,33.1655317591292,36.4878222085674,21.9318469101124,28.294,8,56960,622236,176027
"UA","Ukraine",2020,1,"fixed",2020-01-01,42.2884643588779,44.8512644445838,12.6383889376646,39.96,43.448,6,31.4749199139968,34.768616433001,20.6982959290652,27.161,9,56277,648855,191352
"UA","Ukraine",2023,3,"mobile",2023-07-01,33.5282439092803,16.1292069509003,33.7054282203345,29.801,15.191,29,31.3376517719151,13.904304926656,35.8943358368808,24.039,30,36881,136474,74868
"UA","Ukraine",2022,3,"mobile",2022-07-01,32.0027472313992,15.5412157298404,38.1255990879903,28.825,14.855,33,29.3073012319675,13.0668405300154,40.0496460848906,22.04,33,40829,162768,85964
"UA","Ukraine",2021,2,"mobile",2021-04-01,29.3994489764425,14.0985805111835,35.206439836513,27.354,13.862,33,28.4359573023394,11.4515115754802,37.7371319807233,22.836,34,74079,382203,226807
"UA","Ukraine",2024,2,"mobile",2024-04-01,30.9281580758477,15.1785575310058,35.0289507013645,25.908,14.014,31,31.1433073569196,13.7527010217214,36.7056181545977,22.762,31,38073,163132,83694
"UA","Ukraine",2024,3,"mobile",2024-07-01,32.9816921255108,15.3581456111718,34.8594691438318,28.172,14.008,31,32.2288893886345,13.8560424993267,36.2596821976838,23.913,31,37130,161235,81491
"UA","Ukraine",2024,1,"mobile",2024-01-01,33.2411130945391,16.3996618385855,36.2929862334442,29.041,15.273,32,32.3251423625653,14.7436911522461,38.01446240612,24.654,32,35817,146513,76635
"UA","Ukraine",2022,4,"mobile",2022-10-01,22.7186522080444,13.4644147253459,40.6263367741136,18.411,12.611,37,24.2094446190276,11.9520213999602,42.3842698121141,16.89,36,45187,351656,145219
"UA","Ukraine",2024,4,"mobile",2024-10-01,40.7237568371248,16.8054676783805,33.9379202249989,35.416,15.222,30,38.5135649746655,15.261950878364,35.3862981279772,29.956,31,32959,131448,68267
"UA","Ukraine",2022,2,"mobile",2022-04-01,31.7865097731117,15.0476189136984,41.6846782829749,28.42,14.285,34,28.8103594977463,12.714128997639,43.1088860270444,21.85,35,46590,209864,99917
"UA","Ukraine",2025,3,"fixed",2025-07-01,139.370070279034,125.668056171808,8.37901664088774,130.858,119.909,5,102.17964357828,95.6317381164016,12.4194382901946,68.385,6,75377,692828,241153
"UA","Ukraine",2022,3,"fixed",2022-07-01,72.7555598090187,73.6657444216718,7.7254663563414,62.915,65.041,4,56.7067104865273,59.5110854257789,10.5876262217182,42.692,5,74076,796784,259083
"UA","Ukraine",2020,2,"mobile",2020-04-01,25.1553220846017,12.5608292812533,38.4823790280256,23.009,12.393,34,24.112925920969,10.4053715327734,44.1856325492689,19.614,36,59774,289976,152432
"UA","Ukraine",2022,4,"fixed",2022-10-01,79.7862002498454,80.7316860547965,8.02964246367668,73.244,74.459,5,60.9812961689131,63.9600486554678,12.0459199256357,45.723,5,75305,1043210,318597
"UA","Ukraine",2023,1,"mobile",2023-01-01,27.1975763724359,14.9843715246137,38.3738027256343,23.378,14.378,35,27.3083797583162,13.3103519886894,39.7513271267373,20.107,34,37487,216056,98766
"UA","Ukraine",2023,4,"fixed",2023-10-01,101.443248760435,99.8136168322256,8.31348667531045,94.078,93.768,5,73.0871879941711,74.3240295355803,13.1744609655396,53.158,5,74114,924007,293853
"UA","Ukraine",2021,1,"mobile",2021-01-01,26.4406698997041,13.7917417131,35.7056757483764,24.159,13.543,33,25.8842188488805,11.7540727159851,38.982797292426,20.788,34,49934,241858,130115
"UA","Ukraine",2025,3,"mobile",2025-07-01,62.4170278509735,19.7643566461719,30.4441699604743,54.318,17.757,26,54.1285321086107,17.405012591612,32.2488296258031,44.062,27,30973,96955,54648
"UA","Ukraine",2020,3,"mobile",2020-07-01,25.9895244701297,13.2624469858972,37.8777305578865,23.603,13.178,34,25.3508774656306,11.0380606241736,42.7797279429079,20.486,36,55209,252993,147772
"UA","Ukraine",2022,2,"fixed",2022-04-01,65.3326401102576,65.0654000675909,10.2486710647676,55.887,56.515,5,51.4438977932355,52.1316567214823,13.967086367988,40.227,6,82519,900534,284062
"UA","Ukraine",2023,1,"fixed",2023-01-01,85.0668520387654,86.4952484790753,7.59469255532248,79.159,80.846,5,61.4637854577323,64.9303392190104,11.4480058617321,46.5705,5,69604,1057093,296037
"UA","Ukraine",2024,2,"fixed",2024-04-01,115.718069535814,110.488001314113,8.44468305034495,108.002,104.6,5,82.6673571552547,80.2902815239087,13.2314935346698,59.128,6,69138,753211,249598
